lambda r 
499.563344 0.244542152883376
501.49216 -0.667084655143389
503.420976 0.593833200781756
505.349792 -0.498084445351479
507.278608 0.153282706393358
509.207424 -0.229642091165024
511.13624 0.279983052700941
513.065056 0.287437805743185
514.993872 0.310917743616401
516.922688 -1.27851666663721
518.851504 0.313742652611884
520.78032 -0.072533901721719
522.709136 0.230508465061934
524.637952 -0.145238574465254
526.566768 0.327158416977581
528.495584 -0.288067067706712
530.4244 0.641623635254885
532.353216 -0.328994685286834
534.282032 0.457981903640064
536.210848 -0.265179682628591
538.139664 0.240794203327537
540.06848 -0.224016940058809
541.997296 0.105900834038247
543.926112 -0.0845617547410469
545.854928 0.355367124449833
547.783744 -0.315977545873855
549.71256 0.726803258346703
551.641376 -0.164745078555254
553.570192 0.370471394009834
555.499008 -0.255232461306027
557.427824 0.692016542262279
559.35664 -0.0220915737281282
561.285456 0.505580428003172
563.214272 -0.304295687057115
565.143088 0.503730815520186
567.071904 -0.0502300632289949
569.00072 0.267799793663092
570.929536 -0.083380810380326
572.858352 0.090531672868817
574.787168 0.0473574991618886
576.715984 0.289929317704559
578.6448 -0.265358124400924
580.573616 0.263888743556707
582.502432 -0.00374446700266429
584.431248 0.183364605784789
586.360064 -0.39041963095402
588.28888 0.690752606129846
590.217696 -0.347932222674601
592.146512 0.181012640317005
594.075328 -0.0556429753863794
596.004144 0.441265780456233
597.93296 -0.288264597803884
599.861776 -0.120246764519159
601.790592 -0.00830651498034518
603.719408 0.0751615889740516
605.648224 -0.12827405494426
607.57704 0.0102564387608182
609.505856 -0.164179454384295
611.434672 0.208420745311555
613.363488 -0.17135717563607
615.292304 0.338574472695245
617.22112 -0.144454908121023
619.149936 0.531713711455689
621.078752 -0.112185554074033
623.007568 0.377142081819913
624.936384 -0.163411159666866
626.8652 0.109291050554431
628.794016 -0.0985754895061008
630.722832 0.351325858877624
632.651648 -0.109826321018955
634.580464 0.110590432140707
636.50928 -0.286450496472597
638.438096 0.0715772509981349
640.366912 -0.0855510625117506
642.295728 -0.0928422792165766
644.224544 -0.338712522374554
646.15336 -0.104319971378172
648.082176 -0.193517554468547
650.010992 -0.0424859668854634
651.939808 -0.251208452920008
653.868624 -0.137067765649299
655.79744 -0.236035242923929
657.726256 -0.178687069736773
659.655072 -0.293957748954772
661.583888 -0.173833290124302
663.512704 -0.28640247150487
665.44152 -0.259594889371934
667.370336 -0.280068287059769
669.299152 -0.214661856422024
671.227968 -0.30124072935511
673.156784 -0.263412551776684
675.0856 -0.32405317992372
677.014416 -0.314266273774725
678.943232 -0.307444460776402
680.872048 -0.315555318355081
682.800864 -0.366401081308669
684.72968 -0.314190739882056
686.658496 -0.363361274506094
688.587312 -0.328075266408875
690.516128 -0.377042278668424
692.444944 -0.337416203101448
694.37376 -0.405046323532431
696.302576 -0.377638936370314
698.231392 -0.40747535506249
700.160208 -0.385296681096308
702.089024 -0.406811868405513
704.01784 -0.39086671622663
705.946656 -0.397488549083774
707.875472 -0.380775123542824
709.804288 -0.427429794848299
711.733104 -0.420501407843962
713.66192 -0.427917446564779
715.590736 -0.428601238246984
717.519552 -0.429262243779342
719.448368 -0.42548486234281
721.377184 -0.444111675242894
723.306 -0.446424490629216
725.234816 -0.459650886963187
727.163632 -0.44079985900493
729.092448 -0.459212304130501
731.021264 -0.451808261726412
732.95008 -0.464140071049835
734.878896 -0.468702023327196
736.807712 -0.479707272749872
738.736528 -0.468188324415044
740.665344 -0.482405795184857
742.59416 -0.489942552190811
744.522976 -0.494133862921986
746.451792 -0.491173093432153
748.380608 -0.500565728857307
750.309424 -0.489322666704552
752.23824 -0.503329256758942
754.167056 -0.493710688090448
756.095872 -0.514486166133092
758.024688 -0.5093351272831
759.953504 -0.514402482760971
761.88232 -0.519044328993947
763.811136 -0.529009616507525
765.739952 -0.526259072855064
767.668768 -0.523917928569425
769.597584 -0.52240015363995
771.5264 -0.538558039357234
773.455216 -0.526470193564471
775.384032 -0.536100697438228
777.312848 -0.529895812528228
779.241664 -0.540360476302824
781.17048 -0.523628251109129
783.099296 -0.536217626318467
785.028112 -0.540652607316408
786.956928 -0.539935736698268
788.885744 -0.551385939692453
790.81456 -0.54418956031637
792.743376 -0.538266090088894
794.672192 -0.545835196794144
796.601008 -0.546744993866866
798.529824 -0.548624312213289
800.45864 -0.550923178249321
802.387456 -0.550429315165417
804.316272 -0.541830978160279
806.245088 -0.553570140656565
808.173904 -0.5440578941492
810.10272 -0.545909968774104
812.031536 -0.553003526204797
813.960352 -0.547139706390063
815.889168 -0.549195989572177
817.817984 -0.551231688176558
819.7468 -0.547008780135978
821.675616 -0.546673437985721
823.604432 -0.539836021262231
825.533248 -0.546252612151692
827.462064 -0.539812483170099
829.39088 -0.543438917845712
831.319696 -0.53182203377372
833.248512 -0.53682161471004
835.177328 -0.534279392217405
837.106144 -0.535261798720708
839.03496 -0.531911135297226
840.963776 -0.532110735070374
842.892592 -0.523785587960791
844.821408 -0.531579476505228
846.750224 -0.518784351387056
848.67904 -0.524102017512353
850.607856 -0.519015206651945
852.536672 -0.515633934359676
854.465488 -0.51195032803352
856.394304 -0.51306574630336
858.32312 -0.506582658649721
860.251936 -0.509201142805264
862.180752 -0.499531145656233
864.109568 -0.499693533767636
866.038384 -0.498949882850701
867.9672 -0.495064407389688
869.896016 -0.487721391409989
871.824832 -0.482335578221726
873.753648 -0.478115517236111
875.682464 -0.473337443378134
877.61128 -0.468757950745842
879.540096 -0.468684046919603
881.468912 -0.456385753598912
883.397728 -0.455403258056997
885.326544 -0.443015165456698
887.25536 -0.441417222354406
889.184176 -0.434691375371352
891.112992 -0.436440323776004
893.041808 -0.427205245940365
894.970624 -0.419526046810792
896.89944 -0.411111550209232
898.828256 -0.410408238372473
900.757072 -0.400515768141982
902.685888 -0.393301302580052
904.614704 -0.38463476122467
906.54352 -0.381687158059068
908.472336 -0.370871775634042
910.401152 -0.364460815951881
912.329968 -0.353310414757957
914.258784 -0.348398750092542
916.1876 -0.340291613026203
918.116416 -0.331649102597307
920.045232 -0.323461208520114
921.974048 -0.318766739672196
923.902864 -0.310154848520398
925.83168 -0.305428103792166
927.760496 -0.295648201007064
929.689312 -0.290534677366183
931.618128 -0.281133927747042
933.546944 -0.277219265149559
935.47576 -0.267184395531925
937.404576 -0.26186384712326
939.333392 -0.251505342506306
941.262208 -0.24678925645666
943.191024 -0.235711473559257
945.11984 -0.229435903667665
947.048656 -0.217728167494291
948.977472 -0.212979972126956
950.906288 -0.200655018852625
952.835104 -0.192742248166454
954.76392 -0.182635806664267
956.692736 -0.174127835078352
958.621552 -0.1615492688691
960.550368 -0.150910002562764
962.479184 -0.137491224854057
964.408 -0.128710979618946
966.336816 -0.113465097883208
968.265632 -0.101115021560918
970.194448 -0.0826960867043667
972.123264 -0.069036916368757
974.05208 -0.049620589878792
