lambda r 
499.563344 56.945295
501.49216 464.60583
503.420976 25.478086
505.349792 314.836043
507.278608 70.26148
509.207424 169.684468
511.13624 52.482794
513.065056 51.589604
514.993872 48.874492
516.922688 1898.963716
518.851504 48.557615
520.78032 118.177256
522.709136 58.815465
524.637952 139.713565
526.566768 47.080556
528.495584 194.118563
530.4244 22.823191
532.353216 213.301881
534.282032 34.835183
536.210848 184.153375
538.139664 57.438858
540.06848 167.500821
541.997296 78.360855
543.926112 121.495937
545.854928 44.119733
547.783744 207.003432
549.71256 18.758441
551.641376 146.131916
553.570192 42.611675
555.499008 179.983404
557.427824 20.322796
559.35664 105.218371
561.285456 31.219042
563.214272 201.509575
565.143088 31.352284
567.071904 112.261299
569.00072 53.975939
570.929536 121.166011
572.858352 81.183604
574.787168 89.669036
576.715984 51.294486
578.6448 184.229055
580.573616 54.464216
582.502432 100.865923
584.431248 65.559464
586.360064 245.708189
588.28888 20.382028
590.217696 222.80874
592.146512 65.915471
594.075328 113.669245
596.004144 36.202138
597.93296 194.206874
599.861776 131.900598
601.790592 101.931054
603.719408 84.108214
605.648224 134.361256
607.57704 97.666036
609.505856 145.941718
611.434672 61.884125
613.363488 148.373785
615.292304 45.8591
617.22112 139.461685
619.149936 29.395868
621.078752 129.474891
623.007568 41.962168
624.936384 145.683766
626.8652 77.751531
628.794016 125.480283
630.722832 44.532199
632.651648 128.773447
634.580464 77.519251
636.50928 193.39734
638.438096 84.805252
640.366912 121.773016
642.295728 123.834678
644.224544 218.128555
646.15336 127.151056
648.082176 156.141215
650.010992 110.27726
651.939808 178.323448
653.868624 137.109569
655.79744 172.200831
657.726256 150.899246
659.655072 196.769485
661.583888 149.222149
663.512704 193.375955
665.44152 181.800423
667.370336 190.576035
669.299152 163.93129
671.227968 200.09707
673.156784 183.405583
675.0856 210.888637
677.014416 206.189371
678.943232 202.975893
680.872048 206.802278
682.800864 232.488289
684.72968 206.153513
686.658496 230.866689
688.587312 212.85079
690.516128 238.25514
692.444944 217.478437
694.37376 254.124375
696.302576 238.582693
698.231392 255.549688
700.160208 242.826836
702.089024 255.159574
704.01784 245.961264
705.946656 249.740254
707.875472 240.311815
709.804288 267.565303
711.733104 263.330648
713.66192 267.86591
715.590736 268.287994
717.519552 268.696645
719.448368 266.369725
721.377184 278.042814
723.306 279.527468
725.234816 288.171407
727.163632 275.930596
729.092448 287.880537
731.021264 283.014223
732.95008 291.165605
734.878896 294.240211
736.807712 301.791687
738.736528 293.892379
740.665344 303.672731
742.59416 308.988668
744.522976 311.985107
746.451792 309.865406
748.380608 316.639965
750.309424 308.547951
752.23824 318.661251
754.167056 311.681258
756.095872 326.953632
758.024688 323.098638
759.953504 326.890638
761.88232 330.403264
763.811136 338.072322
765.739952 335.937954
767.668768 334.131891
769.597584 332.966203
771.5264 345.587511
773.455216 336.101301
775.384032 343.637616
777.312848 338.762877
779.241664 347.024771
781.17048 333.909097
783.099296 343.730149
785.028112 347.258278
786.956928 346.685547
788.885744 355.947494
790.81456 350.097944
792.743376 345.355272
794.672192 351.427058
796.601008 352.164029
798.529824 353.691247
800.45864 355.568417
802.387456 355.164308
804.316272 348.201773
806.245088 357.742173
808.173904 349.99182
810.10272 351.487568
812.031536 357.275739
813.960352 352.484242
815.889168 354.15713
817.817984 355.821092
819.7468 352.377995
821.675616 352.10601
823.604432 346.605956
825.533248 351.764989
827.462064 346.587171
829.39088 349.493351
831.319696 340.268725
833.248512 344.208519
835.177328 342.199517
837.106144 342.974474
839.03496 340.338543
840.963776 340.494997
842.892592 334.030088
844.821408 340.078735
846.750224 330.205537
848.67904 334.273553
850.607856 330.381109
852.536672 327.818859
854.465488 325.050118
856.394304 325.886032
858.32312 321.057381
860.251936 322.998974
862.180752 315.886558
864.109568 316.004694
866.038384 315.464056
867.9672 312.654301
869.896016 307.412407
871.824832 303.623637
873.753648 300.687599
875.682464 297.397589
877.61128 294.278105
879.540096 294.228032
881.468912 286.012987
883.397728 285.366677
885.326544 277.341695
887.25536 276.323119
889.184176 272.076715
891.112992 273.174605
893.041808 267.426996
894.970624 262.73991
896.89944 257.698298
898.828256 257.28131
900.757072 251.487132
902.685888 247.343956
904.614704 242.457019
906.54352 240.817009
908.472336 234.89392
910.401152 231.451935
912.329968 225.585102
914.258784 223.048214
916.1876 218.923112
918.116416 214.609579
920.045232 210.601378
921.974048 208.33716
923.902864 204.246606
925.83168 202.035694
927.760496 197.536885
929.689312 195.224661
931.618128 191.044231
933.546944 189.329926
935.47576 185.005396
937.404576 182.752719
939.333392 178.445394
941.262208 176.518105
943.191024 172.072502
945.11984 169.603927
947.048656 165.092813
948.977472 163.297664
950.906288 158.728539
952.835104 155.862719
954.76392 152.277524
956.692736 149.323388
958.621552 145.060533
960.550368 141.550042
962.479184 137.243323
964.408 134.496499
966.336816 129.85692
968.265632 126.216177
970.194448 120.975127
972.123264 117.229501
974.05208 112.103866
975.980896 107.409269
977.909712 101.389182
979.838528 96.735141
981.767344 90.090898
983.69616 84.397683
985.624976 76.777818
987.553792 70.302135
989.482608 62.131393
991.411424 54.912752
993.34024 46.23409
995.269056 39.046207
997.197872 30.810252
999.126688 24.433501
1001.055504 18.127477
1002.98432 14.312644
1004.913136 10.823939
1006.841952 9.6081
1008.770768 8.184707
1010.699584 8.247512
1012.6284 7.370117
1014.557216 7.958438
1016.486032 6.919509
1018.414848 7.518277
1020.343664 6.643543
1022.27248 7.37574
1024.201296 6.568566
1026.130112 7.76608
1028.058928 7.330223
1029.987744 8.000584
1031.91656 7.886945
1033.845376 9.473301
1035.774192 10.700482
1037.703008 14.048777
1039.631824 17.083913
1041.56064 24.166011
1043.489456 32.073849
1045.418272 44.596952
1047.347088 55.719593
1049.275904 68.83316
1051.20472 79.012833
1053.133536 89.704262
1055.062352 96.923552
1056.991168 107.180651
1058.919984 110.319403
1060.8488 113.374455
1062.777616 117.863565
1064.706432 126.134455
1066.635248 132.16496
1068.564064 127.760393
1070.49288 129.19397
1072.421696 132.580595
1074.350512 134.166142
1076.279328 135.284569
1078.208144 134.319832
1080.13696 133.135206
1082.065776 130.465528
1083.994592 127.630055
1085.923408 124.348305
1087.852224 121.674835
1089.78104 118.041135
1091.709856 113.782427
1093.638672 109.795996
1095.567488 107.592093
1097.496304 104.165905
1099.42512 101.612044
1101.353936 97.966856
1103.282752 95.428351
1105.211568 91.681731
1107.140384 89.363475
1109.0692 86.270518
1110.998016 85.050389
1112.926832 82.826927
1114.855648 83.05302
1116.784464 82.405161
1118.71328 83.624788
1120.642096 84.759878
1122.570912 87.343336
1124.499728 89.969474
1126.428544 93.911133
1128.35736 97.348474
1130.286176 102.224287
1132.214992 106.001987
1134.143808 110.893324
1136.072624 114.493722
1138.00144 118.579504
1139.930256 121.601343
1141.859072 125.215541
1143.787888 127.099406
1145.716704 130.00206
1147.64552 131.349563
1149.574336 133.183327
1151.503152 134.320687
1153.431968 136.120916
1155.360784 136.609588
1157.2896 137.90217
1159.218416 138.231067
1161.147232 139.496673
1163.076048 139.812261
1165.004864 140.73681
1166.93368 141.016746
1168.862496 141.759633
1170.791312 142.04066
1172.720128 142.547833
1174.648944 142.625514
1176.57776 143.326097
1178.506576 143.16358
1180.435392 143.724959
1182.364208 143.547118
1184.293024 143.993901
1186.22184 143.795791
1188.150656 144.41878
1190.079472 144.099016
1192.008288 144.928977
1193.937104 144.707983
1195.86592 145.471339
1197.794736 145.390684
1199.723552 145.846277
1201.652368 145.795457
1203.581184 146.351575
1205.51 146.472424
1207.438816 147.289903
1209.367632 147.412506
1211.296448 148.082572
1213.225264 148.252942
1215.15408 149.322607
1217.082896 149.810662
1219.011712 150.57037
1220.940528 151.067734
1222.869344 151.94627
1224.79816 152.434625
1226.726976 152.889731
1228.655792 153.073734
1230.584608 153.076321
1232.513424 152.773305
1234.44224 152.333865
1236.371056 152.117766
1238.299872 151.319341
1240.228688 153.984266
1242.157504 155.4623
1244.08632 152.273919
1246.015136 153.855755
1247.943952 153.978014
1249.872768 155.642974
1251.801584 153.896138
1253.7304 154.312696
1255.659216 153.192055
1257.588032 153.327674
1259.516848 152.185923
1261.445664 151.89159
1263.37448 150.463195
1265.303296 150.199874
1267.232112 148.634202
1269.160928 148.30736
1271.089744 147.063175
1273.01856 146.982784
